"age","job","education","marital","default","housing","loan","y"
58,"management","tertiary","married","no","yes","no","no"
44,"technician","secondary","single","no","yes","no","no"
33,"entrepreneur","secondary","married","no","yes","yes","no"
35,"management","tertiary","married","no","yes","no","no"
28,"management","tertiary","single","no","yes","yes","no"
42,"entrepreneur","tertiary","divorced","yes","yes","no","no"
58,"retired","primary","married","no","yes","no","no"
43,"technician","secondary","single","no","yes","no","no"
41,"administration","secondary","divorced","no","yes","no","no"
29,"administration","secondary","single","no","yes","no","no"
53,"technician","secondary","married","no","yes","no","no"
57,"services","secondary","married","no","yes","no","no"
51,"retired","primary","married","no","yes","no","no"
57,"blue_collar","primary","married","no","yes","no","no"
60,"retired","primary","married","no","yes","no","no"
33,"services","secondary","married","no","yes","no","no"
28,"blue_collar","secondary","married","no","yes","yes","no"
56,"management","tertiary","married","no","yes","no","no"
32,"blue_collar","primary","single","no","yes","yes","no"
25,"services","secondary","married","no","yes","no","no"
40,"retired","primary","married","no","yes","yes","no"
44,"administration","secondary","married","no","yes","no","no"
39,"management","tertiary","single","no","yes","no","no"
52,"entrepreneur","secondary","married","no","yes","yes","no"
46,"management","secondary","single","no","yes","no","no"
36,"technician","secondary","single","no","yes","yes","no"
57,"technician","secondary","married","no","no","yes","no"
49,"management","tertiary","married","no","yes","no","no"
60,"administration","secondary","married","no","yes","yes","no"
59,"blue_collar","secondary","married","no","yes","no","no"
51,"management","tertiary","married","no","yes","no","no"
57,"technician","secondary","divorced","no","yes","no","no"
25,"blue_collar","secondary","married","no","yes","no","no"
53,"technician","secondary","married","no","no","no","no"
36,"administration","secondary","divorced","no","yes","no","no"
37,"administration","secondary","single","no","yes","no","no"
44,"services","secondary","divorced","no","yes","no","no"
50,"management","secondary","married","no","yes","no","no"
54,"retired","secondary","married","no","yes","no","no"
36,"administration","primary","single","no","yes","no","no"
58,"self_employed","tertiary","married","no","yes","no","no"
44,"technician","secondary","married","no","yes","no","no"
55,"technician","secondary","divorced","no","no","no","no"
29,"management","tertiary","single","no","yes","no","no"
54,"blue_collar","secondary","married","no","yes","no","no"
48,"management","tertiary","divorced","no","yes","no","no"
32,"management","tertiary","married","no","yes","no","no"
42,"administration","secondary","single","no","yes","no","no"
24,"technician","secondary","single","no","yes","yes","no"
38,"entrepreneur","tertiary","single","no","no","yes","no"
38,"management","tertiary","single","no","yes","no","no"
46,"services","primary","married","no","yes","no","no"
32,"administration","tertiary","married","no","yes","no","no"
53,"technician","secondary","divorced","no","yes","no","no"
57,"blue_collar","primary","married","no","yes","no","no"
33,"services","secondary","married","no","yes","no","no"
51,"management","tertiary","married","no","yes","no","no"
60,"retired","tertiary","married","no","no","no","no"
59,"management","tertiary","divorced","no","yes","no","no"
55,"technician","secondary","married","no","yes","no","no"
35,"blue_collar","secondary","single","no","yes","yes","no"
57,"blue_collar","secondary","married","no","yes","yes","no"
31,"services","secondary","married","no","yes","yes","no"
54,"management","secondary","married","no","yes","yes","no"
55,"blue_collar","primary","married","no","yes","no","no"
43,"technician","secondary","married","no","yes","no","no"
53,"technician","secondary","married","no","yes","no","no"
44,"blue_collar","secondary","married","no","no","yes","no"
55,"services","secondary","divorced","no","no","no","no"
49,"services","secondary","divorced","no","yes","yes","no"
55,"services","secondary","divorced","yes","yes","no","no"
